Emp ID,Office InTime,Office OutTime,Area,Area Lat,Area Long
270,15:00:00,0:00:00,MALAD (W),19.1827551,72.8401539
271,15:00:00,0:00:00,MALAD (W),19.1827551,72.8401539
272,15:00:00,0:00:00,ANDHERI (E),19.1154908,72.8726952
274,15:00:00,0:00:00,MIRA ROAD,19.2871393,72.8688419
275,15:00:00,0:00:00,MULUND (W),19.1725542,72.942537
276,15:00:00,0:00:00,GOREGAON (W),19.1629338,72.839241
277,15:00:00,0:00:00,SAKINAKA,19.0948958,72.8865248
278,15:00:00,0:00:00,VASAI (W),19.3666371,72.8160976
279,15:00:00,0:00:00,KANJURMARG (E),19.1316889,72.9351934
280,15:00:00,0:00:00,JUI NAGAR ,19.0506956,73.0154376
281,15:00:00,0:00:00,KHAR (W),19.0716903,72.8341267
282,15:00:00,0:00:00,BORIVALI (W),19.2461644,72.8509056
283,15:00:00,0:00:00,GHATKOPAR (W),19.0908063,72.9076669
284,15:00:00,0:00:00,KOPARKHAIRANE,19.1616388,72.9964269
285,15:00:00,0:00:00,KANDIVALI (E),19.20212,72.856186
286,15:00:00,0:00:00,MALAD (E),19.1808735,72.8574558
287,15:00:00,0:00:00,BANDRA (W),19.0606917,72.8362497
288,15:00:00,0:00:00,GOREGAON (W),19.1629338,72.839241
289,15:00:00,0:00:00,LOWER PAREL,19.0021567,72.8415793
290,15:00:00,0:00:00,DADAR (E),19.0099129,72.8426858
291,15:00:00,0:00:00,IIT Powai,19.128427,72.919352
292,15:00:00,0:00:00,VILE PARLE (W),19.1102949,72.8409693
293,15:00:00,0:00:00,THANE (W),19.2444738,72.9814877
295,15:00:00,0:00:00,GHANSOLI,19.1253629,72.9992013
296,15:00:00,0:00:00,BYCULLA (E),18.9821993,72.8382547
297,6:00:00,15:00:00,BYCULLA (W),18.9760704,72.8311503
298,6:00:00,15:00:00,BORIVALI (W),19.2461644,72.8509056
299,6:00:00,15:00:00,GOREGAON (E),19.1551485,72.8678551
300,6:00:00,15:00:00,MALAD (E),19.1808735,72.8574558
301,6:00:00,15:00:00,GHATKOPAR (E),19.0796375,72.9070116
302,6:00:00,15:00:00,VASAI (E),19.3942114,72.8633635
303,6:00:00,15:00:00,VIKHROLI (E),19.091182,72.9208636
304,6:00:00,15:00:00,MIRA ROAD,19.2871393,72.8688419
305,6:00:00,15:00:00,ANDHERI (E),19.1154908,72.8726952
306,6:00:00,15:00:00,NERUL (W),19.0355766,73.0228173
309,6:00:00,15:00:00,VASHI,19.0770644,72.9989925
311,6:00:00,15:00:00,KANDIVALI (W),19.1998211,72.842594
314,6:00:00,15:00:00,BHAYANDAR (E),19.3056009,72.8593755
316,6:00:00,15:00:00,BYCULLA (W),18.9760704,72.8311503
317,6:00:00,15:00:00,SANTACRUZ (E),19.07937,72.8562596
318,6:00:00,15:00:00,GHATKOPAR (W),19.0908063,72.9076669
319,6:00:00,15:00:00,JOGESHWARI (E),19.136976,72.854292
320,6:00:00,15:00:00,COTTON GREEN,18.9921457,72.846563
321,6:00:00,15:00:00,KANDIVALI (W),19.1998211,72.842594
322,6:00:00,15:00:00,VASAI (W),19.3666371,72.8160976
324,6:00:00,15:00:00,BHANDUP (W),19.1509879,72.9315251
325,6:00:00,15:00:00,JOGESHWARI (E),19.136976,72.854292
326,6:00:00,15:00:00,VIKHROLI (W),19.112681,72.9208636
327,6:00:00,15:00:00,VIKHROLI (E),19.091182,72.9208636
328,6:00:00,15:00:00,KURLA (W),19.0707532,72.8781322
329,6:00:00,15:00:00,KALWA,19.1943854,72.9992013
330,6:00:00,15:00:00,BORIVALI (W),19.2461644,72.8509056
332,6:00:00,15:00:00,DADAR (E),19.0099129,72.8426858
333,6:00:00,15:00:00,GHANSOLI,19.1253629,72.9992013
334,6:00:00,15:00:00,CHUNABHATTI,19.0516931,72.8691602
335,6:00:00,15:00:00,AIROLI,19.157935,72.9934762
337,6:00:00,15:00:00,GHANSOLI,19.1253629,72.9992013
338,6:00:00,15:00:00,GOREGAON (W),19.1629338,72.839241
339,6:00:00,15:00:00,TROMBAY,19.0137721,72.8953023
340,6:00:00,15:00:00,POWAI,19.1196773,72.9050809
342,6:00:00,15:00:00,VASAI (E),19.3942114,72.8633635
343,6:00:00,15:00:00,THANE (E),19.1780429,72.9785353
345,6:00:00,15:00:00,KALWA,19.1943854,72.9992013
346,6:00:00,15:00:00,KOPARKHAIRANE,19.1616388,72.9964269
347,6:00:00,15:00:00,THANE (W),19.2444738,72.9814877
348,6:00:00,15:00:00,NAIGAON (E),19.0109822,72.8463784
349,6:00:00,15:00:00,NERUL (W),19.0355766,73.0228173
350,6:00:00,15:00:00,BHANDUP (W),19.1509879,72.9315251
351,6:00:00,15:00:00,RABALE,19.1463319,73.0080576
352,6:00:00,15:00:00,GOREGAON (E),19.1551485,72.8678551
353,6:00:00,15:00:00,VILE PARLE (E),19.0963781,72.8563994
354,6:00:00,15:00:00,KANJURMARG (E),19.1316889,72.9351934
355,6:00:00,15:00:00,MULUND (E),19.1565109,72.9637728
356,6:00:00,15:00:00,THANE (E),19.1780429,72.9785353
357,6:00:00,15:00:00,ANDHERI (E),19.1154908,72.8726952
358,6:00:00,15:00:00,NERUL (W),19.0355766,73.0228173
360,6:00:00,15:00:00,THANE (W),19.2444738,72.9814877
361,6:00:00,15:00:00,GHATKOPAR (W),19.0908063,72.9076669
362,6:00:00,15:00:00,THANE (W),19.2444738,72.9814877
363,6:00:00,15:00:00,THANE (E),19.1780429,72.9785353
364,6:00:00,15:00:00,KALWA,19.1943854,72.9992013
365,6:00:00,15:00:00,BORIVALI (W),19.2461644,72.8509056
366,6:00:00,15:00:00,THANE (W),19.2444738,72.9814877
367,6:00:00,15:00:00,THANE (W),19.2444738,72.9814877
372,6:00:00,15:00:00,GHATKOPAR (W),19.0908063,72.9076669
374,6:00:00,15:00:00,TURBHE,19.0726786,73.0198654
375,6:00:00,15:00:00,MULUND (W),19.1725542,72.942537
376,6:00:00,15:00:00,KANJURMARG (E),19.1316889,72.9351934
377,6:00:00,15:00:00,KURLA (W),19.0707532,72.8781322
378,6:00:00,15:00:00,ANDHERI (E),19.1154908,72.8726952
381,6:00:00,15:00:00,DIGHA,19.1758594,73.0001639
382,6:00:00,15:00:00,KALWA,19.1943854,72.9992013
383,6:00:00,15:00:00,GHATKOPAR (E),19.0796375,72.9070116
384,6:00:00,15:00:00,VIKHROLI (E),19.091182,72.9208636
385,6:00:00,15:00:00,BHANDUP (W),19.1509879,72.9315251
386,6:00:00,15:00:00,DHARAVI,19.0402084,72.8508504
387,6:00:00,15:00:00,BORIVALI (W),19.2461644,72.8509056
388,6:00:00,15:00:00,JOGESHWARI (E),19.136976,72.854292
389,6:00:00,15:00:00,KALWA,19.1943854,72.9992013
391,6:00:00,15:00:00,CHEMBUR,19.0327996,72.8963568
392,6:00:00,15:00:00,KOPARKHAIRANE,19.1616388,72.9964269
394,6:00:00,15:00:00,SANTACRUZ (E),19.07937,72.8562596
395,6:00:00,15:00:00,GHANSOLI,19.1253629,72.9992013
396,6:00:00,15:00:00,KURLA (W),19.0707532,72.8781322
397,6:00:00,15:00:00,BORIVALI (W),19.2461644,72.8509056
398,6:00:00,15:00:00,SANTACRUZ (W),19.0815087,72.8376755
399,6:00:00,15:00:00,DHARAVI,19.0402084,72.8508504
400,6:00:00,15:00:00,DHARAVI,19.0402084,72.8508504
401,6:00:00,15:00:00,DHARAVI,19.0402084,72.8508504
402,6:00:00,15:00:00,CHEMBUR,19.0327996,72.8963568
405,6:00:00,15:00:00,MALAD (W),19.1827551,72.8401539
407,6:00:00,15:00:00,VILE PARLE (E),19.0963781,72.8563994
410,6:00:00,15:00:00,DAHISAR (E),19.2539332,72.8672448
411,6:00:00,15:00:00,ANDHERI (E),19.1154908,72.8726952
412,6:00:00,15:00:00,GHATKOPAR (W),19.0908063,72.9076669
414,6:00:00,15:00:00,DHARAVI,19.0402084,72.8508504
415,6:00:00,15:00:00,MULUND (E),19.1565109,72.9637728
416,6:00:00,15:00:00,KANDIVALI (W),19.1998211,72.842594
417,6:00:00,15:00:00,VASAI (E),19.3942114,72.8633635
419,6:00:00,15:00:00,BHANDUP (W),19.1509879,72.9315251
420,6:00:00,15:00:00,MALAD (E),19.1808735,72.8574558
421,6:00:00,15:00:00,KOPARKHAIRANE,19.1616388,72.9964269
422,6:00:00,15:00:00,THANE (W),19.2444738,72.9814877
423,6:00:00,15:00:00,GOREGAON (E),19.1551485,72.8678551
424,6:00:00,15:00:00,THANE (W),19.2444738,72.9814877
425,6:00:00,15:00:00,AIROLI,19.157935,72.9934762
426,6:00:00,15:00:00,SAKINAKA,19.0948958,72.8865248
427,6:00:00,15:00:00,KURLA (W),19.0707532,72.8781322
428,6:00:00,15:00:00,AIROLI,19.157935,72.9934762
430,6:00:00,15:00:00,MIRA ROAD,19.2871393,72.8688419
432,6:00:00,15:00:00,ANDHERI (E),19.1154908,72.8726952
433,6:00:00,15:00:00,VASAI (W),19.3666371,72.8160976
435,6:00:00,15:00:00,AIROLI,19.157935,72.9934762
436,6:00:00,15:00:00,ANDHERI (W),19.1363246,72.82766
437,6:00:00,15:00:00,DIGHA,19.1758594,73.0001639
438,6:00:00,15:00:00,BANDRA (E),19.060516,72.850432
439,6:00:00,15:00:00,GHATKOPAR (W),19.0908063,72.9076669
440,6:00:00,15:00:00,VIKHROLI (W),19.112681,72.9208636
441,6:00:00,15:00:00,SAKINAKA,19.0948958,72.8865248
442,6:00:00,15:00:00,KURLA (W),19.0707532,72.8781322
443,6:00:00,15:00:00,THANE (W),19.2444738,72.9814877
444,6:00:00,15:00:00,KOPARKHAIRANE,19.1616388,72.9964269
445,6:00:00,15:00:00,DIGHA,19.1758594,73.0001639
446,6:00:00,15:00:00,CHEMBUR,19.0327996,72.8963568
447,6:00:00,15:00:00,KANJURMARG (E),19.1316889,72.9351934
